                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0444,                 3.3249,                 4.1922,                0.00333,                      1,                0.01428,                0.00522,                 2.3588,                 3.6486,                 4.1591,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.1545,                 3.3401,                 4.2035,                0.00333,                      1,                0.01435,                0.00558,                 2.3607,                 3.6496,                 4.1593,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 3.1852,                 3.1957,                 4.1694,                0.00333,                      1,                0.01975,                0.00757,                 2.3592,                  3.648,                 4.1593,             0.00015366,             0.00015366,             0.00015366
                      4,                 3.1249,                 3.1576,                 4.1719,                0.00333,                      1,                0.02142,                0.00713,                 2.3611,                   3.64,                 4.1575,             0.00020693,             0.00020693,             0.00020693
                      5,                 2.9149,                 3.1833,                 4.1241,                0.00333,                      1,                0.02203,                0.01766,                 2.3631,                 3.6302,                  4.154,             0.00025782,             0.00025782,             0.00025782
                      6,                  3.122,                  3.042,                 4.1257,                0.00333,                      1,                0.02243,                0.00947,                 2.3672,                 3.6234,                  4.151,             0.00030634,             0.00030634,             0.00030634
                      7,                 3.1768,                 3.0773,                 4.0949,                0.00333,                      1,                0.04629,                 0.0141,                 2.3789,                 3.6429,                 4.1453,             0.00035248,             0.00035248,             0.00035248
                      8,                 3.0237,                 3.0017,                 4.0682,                0.00333,                      1,                0.02197,                0.01581,                 2.3875,                 3.6431,                 4.1412,             0.00039624,             0.00039624,             0.00039624
                      9,                 3.0926,                  3.018,                  4.047,                0.00333,                      1,                0.03072,                 0.0142,                 2.4111,                 3.6366,                 4.1338,             0.00043763,             0.00043763,             0.00043763
                     10,                 3.1286,                  2.946,                 4.0404,                0.00333,                      1,                0.04774,                0.01785,                 2.4268,                 3.7633,                 4.1288,             0.00047664,             0.00047664,             0.00047664
                     11,                 2.9626,                 2.9679,                 3.9936,                0.00333,                      1,                0.02687,                0.01376,                 2.4391,                 3.7881,                 4.1136,             0.00051328,             0.00051328,             0.00051328
                     12,                 2.9709,                 2.8977,                 3.9295,                0.00333,                      1,                0.02982,                0.01944,                 2.4433,                  3.784,                 4.1005,             0.00054754,             0.00054754,             0.00054754
                     13,                 3.0774,                 2.9508,                 3.9402,                0.00333,                      1,                0.03636,                0.01206,                 2.4927,                  3.776,                 4.0663,             0.00057942,             0.00057942,             0.00057942
                     14,                 2.8221,                 2.8375,                 3.8368,                0.00333,                      1,                0.04018,                 0.0127,                 2.4878,                 3.7723,                 4.0518,             0.00060893,             0.00060893,             0.00060893
                     15,                 2.8411,                 2.8187,                 3.8238,                0.00333,                      1,                0.03914,                0.02082,                 2.5198,                 3.7678,                 4.0035,             0.00063606,             0.00063606,             0.00063606
                     16,                 2.8688,                 2.7735,                 3.7612,                0.00333,                      1,                0.24458,                0.04513,                 2.5457,                 3.7775,                 3.9782,             0.00066082,             0.00066082,             0.00066082
                     17,                 2.7632,                 2.8392,                 3.7515,                0.00333,                      1,                0.07111,                0.02171,                 2.5953,                 3.7641,                 3.9617,              0.0006832,              0.0006832,              0.0006832
                     18,                 2.8269,                 2.7312,                 3.7105,                0.00333,                      1,                0.32422,                0.05225,                 2.6724,                 3.7835,                  3.949,              0.0007032,              0.0007032,              0.0007032
                     19,                 2.7244,                 2.7809,                 3.6766,                0.00333,                      1,                0.30004,                0.04611,                 2.6441,                 3.7434,                 3.9355,             0.00072083,             0.00072083,             0.00072083
                     20,                 2.7574,                 2.6181,                 3.5954,                0.00333,                      1,                0.18447,                0.04101,                 2.6105,                 3.5986,                 3.9266,             0.00073608,             0.00073608,             0.00073608
                     21,                 2.7271,                 2.8283,                 3.6371,                0.00333,                      1,                0.32159,                0.05388,                  2.585,                 3.6324,                 3.8603,             0.00074896,             0.00074896,             0.00074896
                     22,                 2.7162,                 2.7887,                 3.5412,                0.00333,                      1,                 0.1763,                0.04042,                 2.4457,                 3.7204,                 3.8001,             0.00075946,             0.00075946,             0.00075946
                     23,                  2.456,                 2.7008,                 3.5104,                0.02043,                      1,                0.17711,                0.04225,                 2.3902,                 4.6649,                 3.6996,             0.00076758,             0.00076758,             0.00076758
                     24,                 2.5157,                 2.6955,                 3.4708,                0.02306,                      1,                0.14228,                0.03786,                 2.2619,                 5.0194,                 3.6319,             0.00077333,             0.00077333,             0.00077333
                     25,                 2.5787,                 2.7019,                 3.4468,                0.02418,                      1,                0.10661,                0.02709,                 2.1178,                 4.8327,                 3.5799,              0.0007767,              0.0007767,              0.0007767
                     26,                 2.5073,                 2.6649,                 3.4518,                0.02428,                      1,                0.08581,                0.02356,                 2.2033,                 4.6265,                 3.5835,              0.0007777,              0.0007777,              0.0007777
                     27,                 2.4773,                 2.6161,                 3.3722,                0.02646,                      1,                0.10692,                0.02927,                 2.1423,                 4.1173,                 3.5395,             0.00077632,             0.00077632,             0.00077632
                     28,                 2.4893,                 2.6817,                 3.4039,                0.03831,                      1,                0.33128,                0.08231,                 1.9376,                 3.7251,                 3.5195,             0.00077256,             0.00077256,             0.00077256
                     29,                 2.4682,                 2.6696,                 3.4268,                0.03831,                      1,                0.33128,                0.08231,                 1.9376,                 3.7251,                 3.5195,             0.00076643,             0.00076643,             0.00076643
                     30,                 2.5103,                 2.6631,                 3.3623,                0.05756,                      1,                0.44578,                0.14055,                 1.8714,                 5.5756,                 3.5283,             0.00075792,             0.00075792,             0.00075792
                     31,                 2.3414,                 2.6203,                 3.3417,                0.08763,                      1,                0.47537,                0.18049,                 1.8104,                 7.1622,                 3.5782,             0.00074704,             0.00074704,             0.00074704
                     32,                 2.2088,                  2.493,                 3.2846,                0.24991,                0.41667,                0.39911,                0.15661,                 1.7768,                 7.4728,                 3.5918,             0.00073378,             0.00073378,             0.00073378
                     33,                 2.3354,                 2.4786,                 3.2601,                0.24991,                0.41667,                0.39911,                0.15661,                 1.7768,                 7.4728,                 3.5918,             0.00071814,             0.00071814,             0.00071814
                     34,                 2.1901,                 2.4329,                 3.2109,                0.30161,                0.41667,                0.29006,                0.12455,                 1.7289,                 5.2884,                 3.5381,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.3091,                 2.5839,                 3.2819,                0.15014,                0.08333,                0.25432,                0.10368,                  1.777,                 2.9215,                 3.7568,              0.0006932,              0.0006932,              0.0006932
                     36,                  2.435,                 2.5926,                 3.2144,                0.16725,                0.08333,                 0.2333,                0.10937,                 1.7016,                 3.1498,                 3.5885,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.2243,                 2.4746,                 3.1456,                0.16725,                0.08333,                 0.2333,                0.10937,                 1.7016,                 3.1498,                 3.5885,               0.000614,               0.000614,               0.000614
                     38,                 2.3101,                 2.5089,                 3.1737,                0.13161,                0.08333,                 0.2769,                0.12415,                 1.7516,                 3.6139,                 3.5964,              0.0005744,              0.0005744,              0.0005744
                     39,                  2.232,                  2.344,                 3.0653,                0.19159,                0.08333,                0.38726,                0.16053,                 1.8879,                 3.2046,                 3.7799,              0.0005348,              0.0005348,              0.0005348
                     40,                  2.367,                 2.4569,                 3.1652,                0.18118,                0.08333,                0.33203,                0.15986,                 1.9342,                 3.4675,                 3.7797,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.8584,                 3.1831,                 3.0856,                0.18118,                0.08333,                0.33203,                0.15986,                 1.9342,                 3.4675,                 3.7797,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.9461,                 2.9953,                 3.1378,                0.23432,                0.33333,                0.32125,                 0.1666,                 2.0268,                 4.2114,                 3.8277,               0.000416,               0.000416,               0.000416
                     43,                 1.8783,                 2.9832,                 3.2335,                0.28937,                0.37462,                0.36303,                0.19534,                 2.2659,                 5.6866,                 4.0786,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.6619,                 2.7981,                 3.1723,                0.41533,                0.41667,                0.45353,                0.23079,                 2.4062,                 8.1847,                 4.3419,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.5874,                 2.5004,                 3.1238,                0.41533,                0.41667,                0.45353,                0.23079,                 2.4062,                 8.1847,                 4.3419,              0.0002972,              0.0002972,              0.0002972
                     46,                   1.61,                 2.4648,                  3.117,                0.47557,                0.41667,                0.55998,                0.26959,                 2.3739,                 9.2526,                  4.279,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.6122,                 2.4871,                 3.0541,                0.45564,                    0.5,                0.54104,                0.27827,                 2.2998,                  6.719,                 4.1228,               0.000218,               0.000218,               0.000218
                     48,                 1.6534,                 2.3985,                 3.0399,                0.50558,                0.41667,                0.56026,                0.29652,                 2.1577,                 4.1382,                 3.8655,              0.0001784,              0.0001784,              0.0001784
