                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1411,                 4.2417,                 4.1942,                0.00497,                0.51754,                0.00732,                 0.0032,                 2.8734,                 3.8767,                 4.1145,             0.00029523,             0.00029523,             0.00029523
                      2,                  3.103,                 3.6615,                 4.0091,                0.67508,                0.16813,                 0.0187,                  0.005,                 3.0442,                  4.817,                 3.8977,             0.00058639,             0.00058639,             0.00058639
                      3,                   3.03,                 3.2271,                 3.7225,                0.69963,                 0.1155,                0.02311,                0.00794,                  2.903,                  3.882,                 3.9177,             0.00086554,             0.00086554,             0.00086554
                      4,                  2.754,                 3.0603,                  3.438,                0.72319,                0.10599,                0.03999,                0.01454,                 2.6893,                 3.2149,                 3.5456,             0.00085501,             0.00085501,             0.00085501
                      5,                 2.5564,                 2.9198,                 3.2054,                0.00938,                0.50804,                0.01896,                0.00742,                 2.8117,                 3.9935,                 4.1235,             0.00085501,             0.00085501,             0.00085501
                      6,                 2.3162,                 2.7325,                 3.0187,                0.75851,                0.11257,                0.06162,                0.01972,                  2.405,                 2.7668,                 3.2508,             0.00083701,             0.00083701,             0.00083701
                      7,                 2.1696,                 2.5382,                 2.8212,                0.77161,                0.10892,                0.08014,                0.02739,                 2.3048,                 2.6708,                 3.1165,             0.00081901,             0.00081901,             0.00081901
                      8,                 2.0301,                 2.3632,                 2.6527,                0.79141,                0.09868,                  0.085,                0.03582,                  2.199,                 2.6768,                  3.025,             0.00080101,             0.00080101,             0.00080101
                      9,                 1.8765,                 2.1452,                 2.5185,                0.84795,                0.13945,                0.13563,                0.07439,                  1.966,                 2.3017,                 2.7204,             0.00078301,             0.00078301,             0.00078301
                     10,                   1.78,                 2.0552,                 2.4283,                0.88117,                 0.1412,                0.14874,                0.09148,                 1.8202,                 2.2303,                 2.6482,             0.00076501,             0.00076501,             0.00076501
                     11,                 1.6721,                 1.9246,                 2.3102,                 0.9122,                0.14514,                0.16928,                0.10689,                 1.7962,                 2.1137,                  2.516,             0.00074702,             0.00074702,             0.00074702
                     12,                 1.5713,                 1.7672,                  2.186,                0.91004,                0.16019,                0.17172,                0.10828,                 1.6796,                  2.041,                 2.4261,             0.00072902,             0.00072902,             0.00072902
                     13,                 1.5675,                 1.7834,                 2.1722,                0.94084,                0.14912,                0.18163,                0.12043,                 1.6957,                 1.9495,                  2.396,             0.00071102,             0.00071102,             0.00071102
                     14,                 1.4911,                 1.6944,                  2.106,                0.58593,                0.16886,                0.19311,                0.12739,                 1.5928,                 1.7534,                 2.3072,             0.00069302,             0.00069302,             0.00069302
                     15,                 1.4507,                 1.5848,                 2.0805,                0.56694,                0.17617,                0.19435,                0.12774,                 1.5749,                  1.779,                 2.2626,             0.00067502,             0.00067502,             0.00067502
                     16,                 1.3939,                 1.5712,                 2.0198,                 0.5779,                0.17544,                0.20015,                0.13873,                 1.5007,                 1.7334,                 2.2033,             0.00065703,             0.00065703,             0.00065703
                     17,                 1.4015,                 1.5464,                 2.0104,                0.59608,                0.17982,                 0.2016,                0.13686,                  1.503,                 1.6697,                 2.1496,             0.00063903,             0.00063903,             0.00063903
                     18,                 1.3176,                    1.5,                 1.9217,                0.60609,                0.18101,                0.20468,                0.13904,                  1.474,                 1.6362,                 2.1237,             0.00062103,             0.00062103,             0.00062103
                     19,                 1.3166,                 1.4337,                 1.9286,                0.59674,                0.18713,                0.21348,                 0.1418,                 1.4795,                 1.5833,                 2.1341,             0.00060303,             0.00060303,             0.00060303
