                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0193,                 4.0544,                 4.2301,                 0.0038,                 0.5511,                0.00507,                0.00199,                 2.5721,                 3.8522,                 4.1448,              0.0002875,              0.0002875,              0.0002875
                      2,                 3.0545,                 3.7803,                  4.127,                0.00397,                 0.5659,                0.00658,                0.00261,                 2.5501,                 3.8735,                 4.1049,             0.00057587,             0.00057587,             0.00057587
                      3,                 2.9722,                 3.4044,                 3.8588,                0.00473,                0.48751,                0.00828,                0.00258,                 2.8585,                 4.0584,                 4.4474,             0.00085235,             0.00085235,             0.00085235
                      4,                 2.8366,                 3.2143,                 3.6054,                0.78376,                  0.106,                0.02795,                 0.0078,                 2.6081,                 5.3389,                 3.4542,               0.001117,               0.001117,               0.001117
                      5,                 2.7482,                 3.0771,                 3.4249,                0.86296,                0.01981,                0.04201,                0.01355,                  2.598,                 3.6665,                 3.9703,               0.001151,               0.001151,               0.001151
                      6,                    2.6,                 2.9065,                 3.2402,                0.83412,                0.05104,                0.05355,                0.01426,                 2.3237,                 3.4031,                 3.5765,               0.001151,               0.001151,               0.001151
                      7,                  2.372,                 2.7574,                 3.1004,                0.53991,                  0.053,                0.02383,                0.00846,                   2.21,                 3.5214,                  3.549,              0.0011263,              0.0011263,              0.0011263
                      8,                 2.2738,                  2.625,                 2.9528,                0.00213,                0.40011,                  0.002,                0.00065,                  2.552,                 8.4327,                 4.3235,              0.0011015,              0.0011015,              0.0011015
                      9,                  2.197,                 2.5552,                  2.857,                0.89087,                0.13269,                0.13973,                0.07054,                 1.8859,                 2.4783,                 2.8582,              0.0010768,              0.0010768,              0.0010768
                     10,                 2.0726,                 2.4513,                 2.7592,                0.89405,                0.13684,                 0.1569,                0.06689,                 1.8631,                 2.8002,                 2.6933,               0.001052,               0.001052,               0.001052
                     11,                  1.992,                   2.31,                  2.688,                0.90057,                0.16221,                 0.1749,                0.08959,                 1.7118,                 2.3663,                 2.6236,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.8828,                  2.224,                 2.5824,                0.94577,                0.16916,                 0.2009,                0.12562,                 1.5654,                 2.0673,                 2.4652,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.8067,                 2.1171,                 2.4857,                0.94444,                0.17559,                0.22306,                0.11214,                 1.7665,                 2.0441,                 2.5769,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.7672,                 2.0438,                 2.4625,                0.95002,                0.17781,                0.23273,                0.13227,                 1.5678,                 1.8739,                 2.3219,               0.000953,               0.000953,               0.000953
                     15,                 1.7408,                 1.9925,                 2.4059,                0.95777,                0.20182,                0.25771,                0.15906,                 1.4024,                 1.6546,                 2.2069,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.6899,                  1.931,                 2.3409,                0.97146,                0.19941,                0.24948,                 0.1613,                  1.354,                 1.6279,                 2.1599,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.6456,                 1.8723,                  2.323,                0.96455,                0.19807,                0.25414,                0.16062,                 1.3655,                 1.6711,                 2.2056,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.5887,                  1.796,                 2.2771,                 0.7642,                 0.2772,                0.28972,                0.18131,                  1.288,                 1.4988,                 2.0583,               0.000854,               0.000854,               0.000854
                     19,                 1.5142,                 1.6867,                 2.2109,                0.77241,                0.27721,                0.32052,                0.19471,                  1.274,                 1.3699,                 2.0313,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.4677,                 1.6891,                 2.1732,                0.79503,                0.27504,                0.30483,                0.18591,                 1.2725,                 1.4295,                  1.998,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.4924,                 1.6816,                 2.1757,                0.76805,                0.26706,                0.29075,                0.19264,                 1.1768,                 1.2604,                 1.9371,             0.00077975,             0.00077975,             0.00077975
                     22,                   1.43,                 1.5959,                 2.1254,                 0.9829,                0.20931,                0.29265,                0.18193,                 1.2773,                 1.3247,                 2.0177,               0.000755,               0.000755,               0.000755
                     23,                 1.3588,                 1.4991,                 2.0469,                0.81474,                0.31086,                0.31958,                0.20958,                 1.1623,                 1.1693,                  1.896,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.3699,                 1.4942,                 2.0348,                0.98728,                0.20972,                0.30287,                0.18395,                  1.277,                 1.2953,                 2.0327,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.3338,                 1.4568,                 2.0253,                0.84885,                0.28201,                0.32483,                0.21925,                 1.1144,                 1.1422,                 1.8467,             0.00068075,             0.00068075,             0.00068075
                     26,                  1.315,                 1.4161,                 1.9741,                0.78582,                0.29803,                0.30091,                0.18043,                 1.3054,                  1.262,                 2.0341,               0.000656,               0.000656,               0.000656
                     27,                 1.2976,                 1.3922,                 1.9856,                0.81383,                 0.3293,                0.34781,                0.21976,                 1.1353,                 1.1088,                 1.8587,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2909,                 1.3694,                 1.9748,                0.80412,                 0.3317,                 0.3311,                0.21896,                 1.1238,                 1.1074,                 1.8416,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2627,                 1.3393,                 1.9325,                0.86659,                0.30473,                0.33476,                0.22689,                 1.0418,                 1.0562,                 1.7555,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.2797,                 1.3166,                 1.9252,                0.80817,                0.32878,                0.35662,                0.23745,                 1.0576,                 1.0506,                 1.7764,               0.000557,               0.000557,               0.000557
                     31,                 1.2261,                 1.3179,                 1.9137,                0.85704,                0.34374,                 0.3668,                 0.2531,                 1.0029,                0.95338,                 1.7251,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.2171,                 1.2742,                 1.8813,                0.85907,                0.33277,                0.36008,                0.24138,                 1.0869,                0.96118,                 1.7835,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.2021,                 1.2327,                 1.8749,                0.86879,                0.34585,                0.36235,                0.24681,                 1.0376,                0.94787,                 1.7513,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.1928,                 1.1988,                 1.8485,                  0.872,                0.33389,                0.35448,                0.24385,                0.97769,                0.90161,                 1.6777,               0.000458,               0.000458,               0.000458
                     35,                 1.2116,                 1.2296,                 1.8429,                0.85075,                0.34726,                0.36771,                0.25051,                 0.9831,                0.90398,                 1.6949,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.1908,                 1.1667,                  1.839,                0.85605,                0.35806,                0.35678,                0.24715,                 0.9929,                0.92866,                 1.6918,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1498,                  1.187,                  1.825,                0.89012,                0.33223,                 0.3648,                0.25435,                0.96206,                0.87282,                 1.6782,             0.00038375,             0.00038375,             0.00038375
