                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0339,                 5.3684,                 4.1638,                      0,                      0,                      0,                      0,                 2.5184,                 4.3064,                 3.9375,             5.7955e-05,             5.7955e-05,             5.7955e-05
                      2,                 2.8765,                 5.2463,                 3.8826,                0.00226,                   0.35,                0.00746,                0.00225,                 2.4228,                 5.1319,                 3.6117,             0.00011399,             0.00011399,             0.00011399
                      3,                 2.4996,                 5.0399,                 3.4426,                0.00313,                0.40228,                0.01296,                 0.0046,                 2.1688,                 4.1745,                 3.4226,             0.00016771,             0.00016771,             0.00016771
                      4,                 2.0642,                 4.6602,                 2.9641,                0.00486,                0.61481,                0.03469,                0.01707,                 1.9722,                 3.8794,                 3.0389,              0.0001646,              0.0001646,              0.0001646
                      5,                 1.7645,                 4.2759,                 2.5934,                0.00637,                0.69864,                 0.0352,                0.01994,                 1.7218,                 3.6933,                 2.7922,              0.0001646,              0.0001646,              0.0001646
                      6,                 1.6265,                 4.1081,                 2.3955,                0.06115,                0.60409,                0.05413,                0.03194,                 1.7418,                 3.4898,                 2.7579,             0.00016114,             0.00016114,             0.00016114
                      7,                 1.5052,                  3.933,                 2.2348,                0.31316,                0.22457,                0.05233,                0.03023,                 1.7204,                 3.3722,                 2.7002,             0.00015767,             0.00015767,             0.00015767
                      8,                 1.4709,                 3.8512,                 2.1686,                0.11546,                0.58781,                0.05233,                0.02711,                 1.8157,                 3.3846,                 2.8338,             0.00015421,             0.00015421,             0.00015421
                      9,                  1.413,                 3.7399,                 2.1018,                0.00857,                0.89497,                0.06161,                0.03326,                 1.7069,                 3.3125,                 2.6098,             0.00015074,             0.00015074,             0.00015074
                     10,                 1.3805,                 3.6813,                 2.0621,                0.26042,                0.23812,                0.06911,                0.04142,                 1.6148,                 3.1638,                 2.5181,             0.00014728,             0.00014728,             0.00014728
                     11,                  1.356,                 3.6133,                 2.0284,                0.50281,                0.07502,                 0.0894,                0.05396,                 1.5474,                  3.144,                  2.426,             0.00014382,             0.00014382,             0.00014382
                     12,                 1.3322,                 3.5602,                 1.9998,                 0.2298,                 0.2648,                0.08183,                0.04477,                 1.5996,                 3.0998,                 2.4928,             0.00014035,             0.00014035,             0.00014035
                     13,                  1.316,                 3.5195,                 1.9796,                0.35505,                0.12699,                  0.104,                0.06178,                 1.5626,                 3.0472,                 2.4249,             0.00013689,             0.00013689,             0.00013689
                     14,                 1.2997,                 3.4652,                 1.9561,                 0.6367,                0.14197,                0.14029,                0.07949,                 1.5947,                 2.9825,                 2.4793,             0.00013342,             0.00013342,             0.00013342
                     15,                  1.279,                 3.4107,                 1.9316,                0.44705,                0.16878,                 0.1506,                0.09083,                 1.5573,                 2.9934,                 2.4627,             0.00012996,             0.00012996,             0.00012996
                     16,                 1.2738,                 3.3752,                 1.9301,                0.37796,                0.21027,                0.14364,                0.09003,                 1.5745,                 2.9059,                 2.4238,             0.00012649,             0.00012649,             0.00012649
                     17,                 1.2708,                 3.3369,                 1.9112,                0.26841,                0.19283,                0.12668,                0.07731,                 1.5951,                 2.9061,                 2.4869,             0.00012302,             0.00012302,             0.00012302
                     18,                 1.2418,                 3.2849,                 1.8895,                0.32426,                0.20524,                0.13024,                0.07597,                 1.6205,                 2.9299,                 2.5185,             0.00011956,             0.00011956,             0.00011956
                     19,                 1.2479,                 3.2628,                 1.8767,                0.35847,                 0.1903,                0.16074,                0.10081,                 1.5159,                 2.7979,                 2.3702,             0.00011609,             0.00011609,             0.00011609
                     20,                 1.2251,                 3.2082,                 1.8642,                0.36529,                0.15692,                0.14887,                0.08652,                  1.643,                  2.885,                 2.5477,             0.00011263,             0.00011263,             0.00011263
                     21,                 1.2168,                 3.1829,                 1.8553,                0.36529,                0.20282,                0.15893,                0.10081,                 1.4783,                 2.8153,                 2.3212,             0.00010917,             0.00010917,             0.00010917
                     22,                  1.212,                 3.1398,                 1.8417,                0.31193,                0.18924,                0.13738,                0.08361,                 1.5328,                 2.8576,                 2.4294,              0.0001057,              0.0001057,              0.0001057
                     23,                 1.2051,                  3.135,                 1.8395,                0.31034,                0.21852,                0.16331,                0.09694,                 1.5795,                 2.7377,                 2.4549,             0.00010224,             0.00010224,             0.00010224
                     24,                 1.2099,                 3.1037,                 1.8356,                0.37629,                0.17584,                0.16332,                0.09974,                 1.5287,                 2.7053,                 2.3827,              9.877e-05,              9.877e-05,              9.877e-05
                     25,                 1.1948,                 3.0628,                 1.8243,                0.33882,                0.23424,                0.17333,                0.10013,                 1.6048,                 2.7543,                  2.484,             9.5305e-05,             9.5305e-05,             9.5305e-05
                     26,                 1.1893,                 3.0413,                 1.8204,                0.26844,                0.27754,                0.17185,                0.10391,                 1.5147,                 2.7081,                 2.3694,              9.184e-05,              9.184e-05,              9.184e-05
                     27,                 1.1833,                 3.0337,                 1.8139,                0.28875,                0.20468,                0.18616,                 0.1119,                 1.4979,                 2.7116,                 2.3716,             8.8375e-05,             8.8375e-05,             8.8375e-05
                     28,                 1.1626,                 2.9984,                 1.8026,                0.31325,                0.23702,                0.19855,                   0.12,                 1.4989,                 2.6966,                 2.3393,              8.491e-05,              8.491e-05,              8.491e-05
                     29,                 1.1676,                 2.9802,                  1.798,                0.21917,                 0.2186,                0.18461,                 0.1129,                 1.4981,                 2.6955,                 2.3405,             8.1445e-05,             8.1445e-05,             8.1445e-05
                     30,                 1.1736,                 2.9713,                 1.8021,                0.24134,                0.22236,                 0.1873,                0.11374,                 1.4845,                 2.6617,                 2.3045,              7.798e-05,              7.798e-05,              7.798e-05
                     31,                 1.1569,                 2.9481,                 1.7891,                0.31251,                0.22058,                 0.2021,                 0.1144,                 1.6293,                 2.6865,                 2.4984,             7.4515e-05,             7.4515e-05,             7.4515e-05
                     32,                 1.1596,                 2.9158,                 1.7923,                0.23796,                0.32199,                0.20021,                0.11832,                 1.4991,                  2.594,                 2.3443,              7.105e-05,              7.105e-05,              7.105e-05
                     33,                 1.1501,                 2.9025,                 1.7818,                0.28914,                0.24707,                0.19803,                0.12406,                 1.4427,                 2.5955,                 2.2637,             6.7585e-05,             6.7585e-05,             6.7585e-05
                     34,                 1.1457,                 2.8938,                 1.7681,                0.21686,                0.23913,                0.20565,                0.12464,                 1.5031,                 2.6387,                 2.3564,              6.412e-05,              6.412e-05,              6.412e-05
                     35,                 1.1362,                 2.8839,                 1.7652,                0.27598,                0.31511,                0.22693,                0.13361,                 1.5447,                 2.5846,                 2.3938,             6.0655e-05,             6.0655e-05,             6.0655e-05
                     36,                 1.1359,                 2.8505,                 1.7594,                0.22139,                0.25719,                0.21655,                0.13222,                 1.4991,                 2.6038,                 2.3125,              5.719e-05,              5.719e-05,              5.719e-05
                     37,                 1.1391,                 2.8642,                 1.7686,                0.22676,                0.25819,                0.21026,                0.12214,                 1.5461,                 2.6259,                 2.3869,             5.3725e-05,             5.3725e-05,             5.3725e-05
