                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2246,                 3.4551,                 4.2694,                0.00596,                0.65957,                0.00874,                0.00269,                 2.7965,                 3.5171,                 4.1591,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.2752,                 3.3888,                 4.2496,                0.00603,                0.66667,                0.00822,                0.00262,                  2.797,                 3.5162,                 4.1589,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 3.1959,                  3.502,                 4.2422,                0.00603,                0.66667,                0.00892,                0.00271,                  2.797,                 3.5145,                 4.1587,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 3.2636,                 3.4015,                 4.2289,                0.00603,                0.66667,                0.00854,                0.00273,                 2.7959,                 3.5148,                 4.1583,             0.00013168,             0.00013168,             0.00013168
                      5,                 3.1189,                 3.3864,                 4.2023,                0.00609,                0.67376,                0.00856,                0.00275,                 2.7956,                 3.5117,                 4.1575,             0.00016574,             0.00016574,             0.00016574
                      6,                 3.2654,                 3.3879,                 4.1974,                0.00609,                0.67376,                0.00916,                0.00289,                  2.795,                 3.5091,                 4.1566,             0.00019822,             0.00019822,             0.00019822
                      7,                 3.4014,                 3.4477,                 4.1782,                0.00609,                0.67376,                0.01006,                0.00311,                 2.7946,                 3.5059,                 4.1558,             0.00022911,             0.00022911,             0.00022911
                      8,                 3.1654,                 3.4002,                 4.1583,                0.00609,                0.67376,                0.01001,                0.00309,                 2.7952,                 3.5027,                 4.1537,             0.00025842,             0.00025842,             0.00025842
                      9,                 3.2838,                 3.5002,                 4.1759,                0.00603,                0.66667,                0.00999,                0.00309,                 2.7938,                 3.5009,                 4.1531,             0.00028614,             0.00028614,             0.00028614
                     10,                 3.1571,                 3.3715,                 4.1562,                0.00615,                0.68085,                0.01051,                0.00308,                 2.7941,                 3.4987,                 4.1516,             0.00031228,             0.00031228,             0.00031228
                     11,                 3.2202,                 3.4076,                 4.1566,                0.00615,                0.68085,                0.01091,                 0.0032,                 2.7946,                  3.496,                 4.1499,             0.00033684,             0.00033684,             0.00033684
                     12,                 3.1959,                 3.2967,                  4.123,                0.00615,                0.68085,                0.01016,                0.00309,                 2.7942,                 3.4936,                 4.1478,             0.00035981,             0.00035981,             0.00035981
